NO,date,hour,company,count
300,2025.01.02,03,SaudiAramco,"3,292"
301,2025.01.02,04,intel,365
302,2025.01.02,04,tesla,15
303,2025.01.02,04,samsung,189
304,2025.01.02,04,Microsoft,521
305,2025.01.02,04,Amazon,19
306,2025.01.02,04,TSMintel,107
307,2025.01.02,04,Google,953
308,2025.01.02,04,Broadcom,0
309,2025.01.02,04,Meta,"14,284"
310,2025.01.02,04,SaudiAramco,"3,933"
311,2025.01.02,05,intel,267
312,2025.01.02,05,tesla,26
313,2025.01.02,05,samsung,157
314,2025.01.02,05,apple,0
315,2025.01.02,05,Microsoft,566
316,2025.01.02,05,Amazon,10
317,2025.01.02,05,TSMintel,111
318,2025.01.02,05,Google,"1,121"
319,2025.01.02,05,Broadcom,0
320,2025.01.02,05,Meta,"16,387"
321,2025.01.02,05,SaudiAramco,"4,374"
322,2025.01.02,06,intel,494
323,2025.01.02,06,tesla,290
324,2025.01.02,06,samsung,611
325,2025.01.02,06,apple,0
326,2025.01.02,06,Microsoft,"1,039"
327,2025.01.02,06,Amazon,114
328,2025.01.02,06,TSMintel,329
329,2025.01.02,06,Google,"3,027"
330,2025.01.02,06,Broadcom,0
331,2025.01.02,06,Meta,"30,383"
332,2025.01.02,06,SaudiAramco,"8,343"
333,2025.01.02,07,intel,"2,025"
334,2025.01.02,07,tesla,215
335,2025.01.02,07,samsung,"1,266"
336,2025.01.02,07,apple,0
337,2025.01.02,07,Microsoft,"3,193"
338,2025.01.02,07,Amazon,141
339,2025.01.02,07,TSMintel,669
340,2025.01.02,07,Google,"6,224"
341,2025.01.02,07,Broadcom,0
342,2025.01.02,07,Meta,"131,368"
343,2025.01.02,07,SaudiAramco,"30,697"
344,2025.01.02,08,intel,"11,646"
345,2025.01.02,08,tesla,87
346,2025.01.02,08,samsung,"3,444"
347,2025.01.02,08,apple,28
348,2025.01.02,08,Microsoft,"21,383"
349,2025.01.02,08,Amazon,"3,556"
350,2025.01.02,08,TSMintel,"15,995"
351,2025.01.02,08,Google,"36,715"
352,2025.01.02,08,Broadcom,3
353,2025.01.02,08,Meta,"436,582"
354,2025.01.02,08,SaudiAramco,"123,572"
355,2025.01.02,09,intel,"52,936"
356,2025.01.02,09,tesla,287
357,2025.01.02,09,samsung,"51,212"
358,2025.01.02,09,apple,0
359,2025.01.02,09,Microsoft,"64,470"
360,2025.01.02,09,Amazon,"48,346"
361,2025.01.02,09,TSMintel,"13,555"
362,2025.01.02,09,Google,"75,317"
363,2025.01.02,09,Broadcom,20
364,2025.01.02,09,Meta,"1,793,180"
365,2025.01.02,09,SaudiAramco,"632,871"
366,2025.01.02,10,intel,"121,078"
367,2025.01.02,10,tesla,577
368,2025.01.02,10,samsung,"87,118"
369,2025.01.02,10,apple,0
370,2025.01.02,10,Microsoft,"119,673"
371,2025.01.02,10,Amazon,"42,218"
372,2025.01.02,10,TSMintel,"14,708"
373,2025.01.02,10,Google,"98,525"
374,2025.01.02,10,Broadcom,107
375,2025.01.02,10,Meta,"3,429,566"
376,2025.01.02,10,SaudiAramco,"1,101,478"
377,2025.01.02,11,intel,"86,346"
378,2025.01.02,11,tesla,407
379,2025.01.02,11,samsung,"52,812"
380,2025.01.02,11,apple,0
381,2025.01.02,11,Microsoft,"71,748"
382,2025.01.02,11,Amazon,"48,331"
383,2025.01.02,11,TSMintel,"23,941"
384,2025.01.02,11,Google,"91,504"
385,2025.01.02,11,Broadcom,"21,030"
386,2025.01.02,11,Meta,"2,542,244"
387,2025.01.02,11,SaudiAramco,"705,757"
388,2025.01.02,12,intel,"28,994"
389,2025.01.02,12,tesla,207
390,2025.01.02,12,samsung,"15,398"
391,2025.01.02,12,apple,0
392,2025.01.02,12,Microsoft,"47,255"
393,2025.01.02,12,Amazon,"20,585"
394,2025.01.02,12,TSMintel,"8,919"
395,2025.01.02,12,Google,"37,207"
396,2025.01.02,12,Broadcom,"49,554"
397,2025.01.02,12,Meta,"1,167,944"
398,2025.01.02,12,SaudiAramco,"545,416"
399,2025.01.02,13,intel,"53,712"
400,2025.01.02,13,tesla,329
401,2025.01.02,13,samsung,"39,368"
402,2025.01.02,13,apple,0
403,2025.01.02,13,Microsoft,"57,434"
404,2025.01.02,13,Amazon,"41,841"
405,2025.01.02,13,TSMintel,"7,159"
406,2025.01.02,13,Google,"37,787"
407,2025.01.02,13,Broadcom,70
408,2025.01.02,13,Meta,"1,179,802"
409,2025.01.02,13,SaudiAramco,"504,169"
410,2025.01.02,14,intel,"49,103"
411,2025.01.02,14,tesla,305
412,2025.01.02,14,samsung,"22,470"
413,2025.01.02,14,apple,0
414,2025.01.02,14,Microsoft,"96,043"
415,2025.01.02,14,Amazon,"41,241"
416,2025.01.02,14,TSMintel,"22,802"
417,2025.01.02,14,Google,"41,779"
418,2025.01.02,14,Broadcom,"5,630"
419,2025.01.02,14,Meta,"1,519,222"
420,2025.01.02,14,SaudiAramco,"430,463"
421,2025.01.02,15,intel,"35,748"
422,2025.01.02,15,tesla,388
423,2025.01.02,15,samsung,"15,834"
424,2025.01.02,15,apple,0
425,2025.01.02,15,Microsoft,"115,938"
426,2025.01.02,15,Amazon,"77,923"
427,2025.01.02,15,TSMintel,"12,445"
428,2025.01.02,15,Google,"46,856"
429,2025.01.02,15,Broadcom,"21,715"
430,2025.01.02,15,Meta,"1,242,932"
431,2025.01.02,15,SaudiAramco,"364,919"
432,2025.01.02,16,intel,"67,587"
433,2025.01.02,16,tesla,382
434,2025.01.02,16,samsung,"12,895"
435,2025.01.02,16,apple,0
436,2025.01.02,16,Microsoft,"153,275"
437,2025.01.02,16,Amazon,"85,759"
438,2025.01.02,16,TSMintel,"7,284"
439,2025.01.02,16,Google,"49,057"
440,2025.01.02,16,Broadcom,"18,092"
441,2025.01.02,16,Meta,"1,601,995"
442,2025.01.02,16,SaudiAramco,"382,997"
443,2025.01.02,17,intel,"83,518"
444,2025.01.02,17,tesla,375
445,2025.01.02,17,samsung,"12,818"
446,2025.01.02,17,apple,0
447,2025.01.02,17,Microsoft,"75,175"
448,2025.01.02,17,Amazon,"163,867"
449,2025.01.02,17,TSMintel,"6,109"
450,2025.01.02,17,Google,"42,336"
451,2025.01.02,17,Broadcom,"10,861"
452,2025.01.02,17,Meta,"1,441,051"
453,2025.01.02,17,SaudiAramco,"321,604"
454,2025.01.02,18,intel,"42,282"
455,2025.01.02,18,tesla,169
456,2025.01.02,18,samsung,"6,805"
457,2025.01.02,18,Microsoft,"47,476"
458,2025.01.02,18,Amazon,"67,150"
459,2025.01.02,18,TSMintel,"16,765"
460,2025.01.02,18,Google,"38,570"
461,2025.01.02,18,Broadcom,"42,869"
462,2025.01.02,18,Meta,"792,564"
463,2025.01.02,18,SaudiAramco,"172,617"
464,2025.01.02,19,intel,"29,230"
465,2025.01.02,19,tesla,107
466,2025.01.02,19,samsung,"3,494"
467,2025.01.02,19,Microsoft,"34,161"
468,2025.01.02,19,Amazon,"13,620"
469,2025.01.02,19,TSMintel,"30,829"
470,2025.01.02,19,Google,"36,288"
471,2025.01.02,19,Broadcom,0
472,2025.01.02,19,Meta,"561,538"
473,2025.01.02,19,SaudiAramco,"164,630"
474,2025.01.02,20,intel,"17,110"
475,2025.01.02,20,tesla,86
476,2025.01.02,20,samsung,"2,224"
477,2025.01.02,20,Microsoft,"17,126"
478,2025.01.02,20,Amazon,"2,761"
479,2025.01.02,20,TSMintel,"2,878"
480,2025.01.02,20,Google,"13,489"
481,2025.01.02,20,Broadcom,0
482,2025.01.02,20,Meta,"256,266"
483,2025.01.02,20,SaudiAramco,"100,210"
484,2025.01.02,21,intel,"4,361"
485,2025.01.02,21,tesla,130
486,2025.01.02,21,samsung,"1,238"
487,2025.01.02,21,Microsoft,"8,908"
488,2025.01.02,21,Amazon,10
489,2025.01.02,21,TSMintel,"27,731"
490,2025.01.02,21,Google,"8,965"
491,2025.01.02,21,Broadcom,0
492,2025.01.02,21,Meta,"102,422"
493,2025.01.02,21,SaudiAramco,"33,900"
494,2025.01.02,22,intel,"2,441"
495,2025.01.02,22,tesla,40
496,2025.01.02,22,samsung,"1,090"
497,2025.01.02,22,Microsoft,"2,735"
498,2025.01.02,22,Amazon,85
499,2025.01.02,22,TSMintel,565
500,2025.01.02,22,Google,"8,356"
501,2025.01.02,22,Broadcom,0
502,2025.01.02,22,Meta,"78,919"
503,2025.01.02,22,SaudiAramco,"23,260"
504,2025.01.02,23,intel,"1,679"
505,2025.01.02,23,tesla,11
506,2025.01.02,23,samsung,898
