NO,date,hour,company,input
399,2025.06.02,17,apple,0
400,2025.06.02,17,Microsoft,"96,288"
401,2025.06.02,17,Amazon,"114,486"
402,2025.06.02,17,TSMC,"20,726"
403,2025.06.02,17,Google,"44,117"
404,2025.06.02,17,Broadcom,"73,025"
405,2025.06.02,17,Meta,"2,349,417"
406,2025.06.02,17,SaudiAramco,"1,045,164"
407,2025.06.02,18,tesla,"1,753"
408,2025.06.02,18,samsung,"11,742"
409,2025.06.02,18,Microsoft,"106,629"
410,2025.06.02,18,Amazon,"65,028"
411,2025.06.02,18,TSMC,"41,857"
412,2025.06.02,18,Google,"24,631"
413,2025.06.02,18,Broadcom,"78,975"
414,2025.06.02,18,Meta,"1,919,853"
415,2025.06.02,18,SaudiAramco,"825,972"
416,2025.06.02,19,tesla,317
417,2025.06.02,19,samsung,"2,982"
418,2025.06.02,19,Microsoft,"30,930"
419,2025.06.02,19,Amazon,"71,472"
420,2025.06.02,19,TSMC,"47,205"
421,2025.06.02,19,Google,"7,938"
422,2025.06.02,19,Broadcom,"84,391"
423,2025.06.02,19,Meta,"1,099,069"
424,2025.06.02,19,SaudiAramco,"705,645"
425,2025.06.02,20,tesla,88
426,2025.06.02,20,samsung,"2,515"
427,2025.06.02,20,Microsoft,"32,207"
428,2025.06.02,20,Amazon,"37,822"
429,2025.06.02,20,TSMC,"1,303"
430,2025.06.02,20,Google,"7,525"
431,2025.06.02,20,Broadcom,"41,124"
432,2025.06.02,20,Meta,"823,172"
433,2025.06.02,20,SaudiAramco,"71,230"
434,2025.06.02,21,tesla,348
435,2025.06.02,21,samsung,"1,232"
436,2025.06.02,21,Microsoft,"2,777"
437,2025.06.02,21,Amazon,180
438,2025.06.02,21,TSMC,919
439,2025.06.02,21,Google,"6,603"
440,2025.06.02,21,Broadcom,0
441,2025.06.02,21,Meta,"141,059"
442,2025.06.02,21,SaudiAramco,"169,838"
443,2025.06.02,22,tesla,103
444,2025.06.02,22,samsung,"1,160"
445,2025.06.02,22,Microsoft,"2,278"
446,2025.06.02,22,Amazon,23
447,2025.06.02,22,TSMC,937
448,2025.06.02,22,Google,"5,881"
449,2025.06.02,22,Broadcom,0
450,2025.06.02,22,Meta,"106,198"
451,2025.06.02,22,SaudiAramco,"607,115"
452,2025.06.02,23,tesla,39
453,2025.06.02,23,samsung,667
454,2025.06.02,23,Microsoft,"1,327"
455,2025.06.02,23,Amazon,20
456,2025.06.02,23,TSMC,647
457,2025.06.02,23,Google,"4,672"
458,2025.06.02,23,Broadcom,0
459,2025.06.02,23,Meta,"63,705"
460,2025.06.02,23,SaudiAramco,"119,171"
461,2025.06.03,00,tesla,37
462,2025.06.03,00,samsung,501
463,2025.06.03,00,Microsoft,900
464,2025.06.03,00,Amazon,7
465,2025.06.03,00,TSMC,489
466,2025.06.03,00,Google,"3,726"
467,2025.06.03,00,Broadcom,0
468,2025.06.03,00,Meta,"39,043"
469,2025.06.03,00,SaudiAramco,"12,157"
470,2025.06.03,01,tesla,60
471,2025.06.03,01,samsung,333
472,2025.06.03,01,Microsoft,672
473,2025.06.03,01,Amazon,3
474,2025.06.03,01,TSMC,393
475,2025.06.03,01,Google,"1,928"
476,2025.06.03,01,Broadcom,0
477,2025.06.03,01,Meta,"24,424"
478,2025.06.03,01,SaudiAramco,"8,529"
479,2025.06.03,02,tesla,34
480,2025.06.03,02,samsung,230
481,2025.06.03,02,Microsoft,639
482,2025.06.03,02,Amazon,12
483,2025.06.03,02,TSMC,252
484,2025.06.03,02,Google,"1,567"
485,2025.06.03,02,Broadcom,0
486,2025.06.03,02,Meta,"19,469"
487,2025.06.03,02,SaudiAramco,"6,968"
488,2025.06.03,03,tesla,20
489,2025.06.03,03,samsung,227
490,2025.06.03,03,Microsoft,447
491,2025.06.03,03,Amazon,23
492,2025.06.03,03,TSMC,219
493,2025.06.03,03,Google,"1,200"
494,2025.06.03,03,Broadcom,0
495,2025.06.03,03,Meta,"15,566"
496,2025.06.03,03,SaudiAramco,"5,470"
497,2025.06.03,04,tesla,0
498,2025.06.03,04,samsung,182
499,2025.06.03,04,Microsoft,601
500,2025.06.03,04,Amazon,85
501,2025.06.03,04,TSMC,177
502,2025.06.03,04,Google,"1,154"
503,2025.06.03,04,Broadcom,0
504,2025.06.03,04,Meta,"15,758"
505,2025.06.03,04,SaudiAramco,"5,387"
506,2025.06.03,05,tesla,47
507,2025.06.03,05,samsung,180
508,2025.06.03,05,Microsoft,598
509,2025.06.03,05,Amazon,977
510,2025.06.03,05,TSMC,192
511,2025.06.03,05,Google,"1,187"
512,2025.06.03,05,Broadcom,0
513,2025.06.03,05,Meta,"37,894"
514,2025.06.03,05,SaudiAramco,"5,020"
515,2025.06.03,06,tesla,211
516,2025.06.03,06,samsung,309
517,2025.06.03,06,Microsoft,"1,131"
518,2025.06.03,06,Amazon,770
519,2025.06.03,06,TSMC,768
520,2025.06.03,06,Google,"1,476"
521,2025.06.03,06,Broadcom,0
522,2025.06.03,06,Meta,"40,409"
523,2025.06.03,06,SaudiAramco,"9,609"
524,2025.06.03,07,tesla,425
525,2025.06.03,07,samsung,523
526,2025.06.03,07,Microsoft,"2,270"
527,2025.06.03,07,Amazon,580
528,2025.06.03,07,TSMC,406
529,2025.06.03,07,Google,"2,507"
530,2025.06.03,07,Broadcom,0
531,2025.06.03,07,Meta,"150,606"
532,2025.06.03,07,SaudiAramco,"21,920"
533,2025.06.03,08,tesla,541
534,2025.06.03,08,samsung,"2,107"
535,2025.06.03,08,apple,28
536,2025.06.03,08,Microsoft,"10,965"
537,2025.06.03,08,Amazon,"1,527"
538,2025.06.03,08,TSMC,979
539,2025.06.03,08,Google,"7,468"
540,2025.06.03,08,Broadcom,3
541,2025.06.03,08,Meta,"373,419"
542,2025.06.03,08,SaudiAramco,"75,252"
543,2025.06.03,09,tesla,473
544,2025.06.03,09,samsung,"6,629"
545,2025.06.03,09,Microsoft,"36,970"
546,2025.06.03,09,Amazon,"13,195"
547,2025.06.03,09,TSMC,"2,897"
548,2025.06.03,09,Google,"20,930"
549,2025.06.03,09,Broadcom,9
550,2025.06.03,09,Meta,"1,179,178"
551,2025.06.03,09,SaudiAramco,"202,407"
552,2025.06.03,10,tesla,115
553,2025.06.03,10,samsung,"25,163"
554,2025.06.03,10,Microsoft,"79,258"
555,2025.06.03,10,Amazon,"6,547"
556,2025.06.03,10,TSMC,"8,562"
557,2025.06.03,10,Google,"15,650"
558,2025.06.03,10,Broadcom,1
559,2025.06.03,10,Meta,"1,463,517"
560,2025.06.03,10,SaudiAramco,"302,090"
561,2025.06.03,11,tesla,177
562,2025.06.03,11,samsung,"5,051"
563,2025.06.03,11,Microsoft,"43,470"
564,2025.06.03,11,Amazon,"13,063"
565,2025.06.03,11,TSMC,"9,702"
566,2025.06.03,11,Google,"32,319"
567,2025.06.03,11,Broadcom,"3,005"
568,2025.06.03,11,Meta,"949,040"
569,2025.06.03,11,SaudiAramco,"298,803"
570,2025.06.03,12,tesla,90
571,2025.06.03,12,samsung,"7,551"
572,2025.06.03,12,Microsoft,"28,678"
573,2025.06.03,12,Amazon,"23,644"
574,2025.06.03,12,TSMC,"6,943"
575,2025.06.03,12,Google,"12,858"
576,2025.06.03,12,Broadcom,"3,471"
577,2025.06.03,12,Meta,"554,716"
578,2025.06.03,12,SaudiAramco,"179,830"
579,2025.06.03,13,tesla,27
580,2025.06.03,13,samsung,"7,122"
581,2025.06.03,13,Microsoft,"19,234"
582,2025.06.03,13,Amazon,"61,942"
583,2025.06.03,13,TSMC,"4,606"
584,2025.06.03,13,Google,"7,723"
585,2025.06.03,13,Broadcom,"82,891"
586,2025.06.03,13,Meta,"547,344"
587,2025.06.03,13,SaudiAramco,"669,136"
588,2025.06.03,14,tesla,224
589,2025.06.03,14,samsung,"6,629"
590,2025.06.03,14,Microsoft,"45,347"
591,2025.06.03,14,Amazon,"81,464"
592,2025.06.03,14,TSMC,"4,403"
593,2025.06.03,14,Google,"8,177"
594,2025.06.03,14,Broadcom,"86,776"
595,2025.06.03,14,Meta,"589,304"
596,2025.06.03,14,SaudiAramco,"653,364"
597,2025.06.03,15,tesla,84
598,2025.06.03,15,samsung,"6,368"
599,2025.06.03,15,Microsoft,"14,169"
600,2025.06.03,15,Amazon,"99,512"
601,2025.06.03,15,TSMC,"3,651"
602,2025.06.03,15,Google,"9,066"
603,2025.06.03,15,Broadcom,"76,373"
604,2025.06.03,15,Meta,"632,966"
605,2025.06.03,15,SaudiAramco,"664,566"
606,2025.06.03,16,tesla,196
607,2025.06.03,16,samsung,"14,405"
608,2025.06.03,16,Microsoft,"17,893"
609,2025.06.03,16,Amazon,"102,262"
610,2025.06.03,16,TSMC,"4,334"
611,2025.06.03,16,Google,"6,561"
612,2025.06.03,16,Broadcom,"72,793"
613,2025.06.03,16,Meta,"532,614"
614,2025.06.03,16,SaudiAramco,"102,254"
615,2025.06.03,17,tesla,168
616,2025.06.03,17,samsung,"1,854"
617,2025.06.03,17,Microsoft,"19,571"
618,2025.06.03,17,Amazon,"35,004"
619,2025.06.03,17,TSMC,"3,169"
620,2025.06.03,17,Google,"6,926"
621,2025.06.03,17,Broadcom,"9,086"
622,2025.06.03,17,Meta,"597,593"
623,2025.06.03,17,SaudiAramco,"180,553"
624,2025.06.03,18,tesla,239
625,2025.06.03,18,samsung,"1,159"
626,2025.06.03,18,Microsoft,"8,945"
627,2025.06.03,18,Amazon,"44,344"
628,2025.06.03,18,TSMC,"2,878"
629,2025.06.03,18,Google,"6,127"
630,2025.06.03,18,Broadcom,820
631,2025.06.03,18,Meta,"521,459"
632,2025.06.03,18,SaudiAramco,"101,774"
633,2025.06.03,19,tesla,394
634,2025.06.03,19,samsung,"10,200"
635,2025.06.03,19,Microsoft,"10,062"
636,2025.06.03,19,Amazon,"2,741"
637,2025.06.03,19,TSMC,994
638,2025.06.03,19,Google,"6,426"
639,2025.06.03,19,Broadcom,0
640,2025.06.03,19,Meta,"331,389"
641,2025.06.03,19,SaudiAramco,"141,416"
642,2025.06.03,20,tesla,105
643,2025.06.03,20,samsung,"2,790"
644,2025.06.03,20,Microsoft,"4,445"
645,2025.06.03,20,Amazon,"2,340"
646,2025.06.03,20,TSMC,"1,090"
647,2025.06.03,20,Google,"5,171"
648,2025.06.03,20,Broadcom,336
649,2025.06.03,20,Meta,"225,486"
650,2025.06.03,20,SaudiAramco,"118,374"
651,2025.06.03,21,tesla,64
652,2025.06.03,21,samsung,"1,104"
653,2025.06.03,21,Microsoft,"1,482"
654,2025.06.03,21,Amazon,10
655,2025.06.03,21,TSMC,"1,857"
656,2025.06.03,21,Google,"5,234"
657,2025.06.03,21,Broadcom,0
658,2025.06.03,21,Meta,"94,971"
659,2025.06.03,21,SaudiAramco,"30,320"
